,date,dailyVolumeInETH,dailyVolumeInUSD,totalVolumeInEth,totalVolumeUSD,totalLiquidityInEth,totalLiquidityUSD
27,2020-10-17 02:00:00,427.341436964823441759,152157.4278154366207099132765557472,9096550.969168358395799991,1919700556.813622304975329203062098,12597.792996229728379,4492143.491602582285241247989480626
28,2020-10-16 02:00:00,457.191200418575222575,173166.1117409008841794094603192273,9096123.627731393572358232,1919548399.385806868354619289785546,12591.213627224029127788,4476797.151536797778645319182425418
29,2020-10-15 02:00:00,8584.725557854014888633,3307744.581860904374603863400775295,9095666.436530974997135657,1919375233.274065967470439880325232,12640.888689694420755826,4871399.106227391207046173532782335
30,2020-10-14 02:00:00,502037.981527368917879094,194241349.4984745615710020584594365,9087081.710973120982247024,1916067488.692205063095836016924446,12730.776929189989073328,4890607.258980685352173130996117072
31,2020-10-13 02:00:00,68407.647857062199468238,26579401.55361441335040686606053874,8585043.72944575206436793,1721826139.193730501524833958465005,12779.795677979604922278,4937628.182146135389923805739857575
32,2020-10-12 02:00:00,8299.303231322124459541,3167183.893372780844224193610186164,8516636.081588689864899692,1695246737.640116088174427092404467,12884.880562847174750092,5056470.771832386579528461970097965
33,2020-10-11 02:00:00,8240.319731839649327641,3154010.681952025447792609508802284,8508336.778357367740440151,1692079553.746743307330202898794284,12890.961734842972607998,4929897.080524470866111409365244371
34,2020-10-10 02:00:00,700.716326532536106513,267330.8968570180569027159770781922,8500096.45862552809111251,1688925543.064791281882410289285492,12961.350768001514760004,4938236.919524019298558197262578964
35,2020-10-09 02:00:00,8418.806555994775990312,3131811.82505162265287436974413585,8499395.742298995555005997,1688658212.167934263825507573308416,13001.327012347242707088,4885808.435049286397164247871333208
36,2020-10-08 02:00:00,684.097330816361956226,247369.4366186267935085734622975983,8490976.935743000779015685,1685526400.342882641172633203564272,12972.560736957590291192,4745565.070476968395133546218283208
37,2020-10-07 02:00:00,8957.362092476111622134,3205282.524707760895463225233280755,8490292.838412184417059459,1685279030.906264014379124630101972,13039.091495909992034208,4686561.143655531324070955574220756
38,2020-10-06 02:00:00,903.363348650984676214,328588.8657255986901478683003709122,8481335.476319708305437325,1682073748.381556253483661404868685,13045.501708008939500268,4669953.995350432941992994797046399
39,2020-10-05 02:00:00,9074.415991858419116326,3327381.517256328705855315176628852,8480432.112971057320761111,1681745159.515830654793513536568318,13189.95537135985126517,4847831.071467835522244586626474253
40,2020-10-04 02:00:00,9274.787012727355280963,3380580.295869517652142895025824316,8471357.696979198901644785,1678417777.998574326087658221391683,14042.05550810173817312,5142833.303099883331444618965436037
41,2020-10-03 02:00:00,744.190358854080792609,270738.8253805120697761692675759247,8462082.909966471546363822,1675037197.702704808435515326365866,14080.489346971191594326,5127833.990687692935149055526357967
42,2020-10-02 02:00:00,18314.784181339116047041,6679259.883942966561727239059927798,8461338.719607617465571213,1674766458.877324296365739157098303,14045.039427389249072972,5096719.602939957094762428771719492
43,2020-10-01 02:00:00,9294.43362751079498813,3464560.351401319680511579306375133,8443023.935426278349524172,1668087198.993381329804011918038365,14155.506855123269684996,5198689.280323504299510594895130021
44,2020-09-30 02:00:00,42915.927938606511898164,15809960.29105077737702332587952309,8433729.501798767554536042,1664622638.641980010123500338731984,14207.333757398399841656,5274702.304716771890173586643230859
45,2020-09-29 02:00:00,1348.834396902042424799,491978.464935201585952079138721823,8390813.573860161042637878,1648812678.350929232746477012852454,14259.74358691556742756,5303684.58652417267029130373043674
46,2020-09-28 02:00:00,1078.696260945217307302,401554.5564716909636885575973435034,8389464.739463259000213079,1648320699.885994031160524933713716,14344.31790103617320464,5274697.53768029263232717010541822
47,2020-09-27 02:00:00,721.941402257209792126,266102.4500453265954463389794823409,8388386.043202313782905777,1647919145.329522340196836376116376,14406.508303688579278484,5319299.825269194291946115964492693
48,2020-09-26 02:00:00,852.886909840045174123,313252.6641653722514071991565256138,8387664.101800056573113651,1647653042.879477013601390037136896,14415.337063666057657774,5247458.150440869851703925389345202
49,2020-09-25 02:00:00,1000.652524687453546427,363653.7583683587225727915217337552,8386811.214890216527939528,1647339790.215311641349982837980355,14469.630077090915383564,5337157.723660802737344486221935787
50,2020-09-24 02:00:00,1121.334361294993232561,398725.8913023994666773852535845082,8385810.562365529074393101,1646976136.456943282627410046458623,14504.784272901865985634,5049768.440766202350133091124910405
51,2020-09-23 02:00:00,2609.711408469743061637,931052.1973285512835254167941279177,8384689.22800423408116054,1646577410.565640883160732661205033,14578.46477380443506432,5238518.207408412434171806409701106
52,2020-09-22 02:00:00,1362.290910444165939785,490954.5028990471606100510537024473,8382079.516595764338098903,1645646358.368312331877207244410893,14350.26511301906037045,5156516.947115565368935521107762444
53,2020-09-21 02:00:00,2465.806290349848255426,905786.2891557966685325968145204199,8380717.225685320172159118,1645155403.865413284716597193357181,14570.40086135722751486,5272013.779797725183593882679730014
54,2020-09-20 02:00:00,2838.22097613744172125,1083468.872524368871962032739065488,8378251.419394970323903692,1644249617.576257488048064596542658,14755.860973770200196182,5584599.581893322582139150323029816
55,2020-09-19 02:00:00,3397.718088398516061545,1316703.169253591043230363459530771,8375413.198418832882182442,1643166148.703733119176102563803596,15010.431910187766347262,5822343.333928059511521192805918199
56,2020-09-18 02:00:00,2011.282897000220654386,773868.5508760861574351416516017104,8372015.480330434366120897,1641849445.534479528132872200344063,14748.503724043613130014,5668283.803477921134607379225877642
57,2020-09-17 02:00:00,4279.417650838635147346,1635232.526023912803268907404567853,8370004.197433434145466511,1641075576.983603441975437058692462,19853.65403266516969156,7666352.134420001266731224158858162
58,2020-09-16 02:00:00,2654.192430775887351307,985349.3097334939071775416400587466,8365724.779782595510319165,1639440344.457579529172168151287886,19947.238552692555350212,7462070.43491479800867947711103434
59,2020-09-15 02:00:00,3660.702334070754643442,1373082.148290701059766517038813564,8363070.587351819622967858,1638454995.147846035264990609647835,20085.092934369239056462,7436701.908176076181271728620391841
60,2020-09-14 02:00:00,3040.202485488456954468,1136249.523941265856196458471520844,8359409.885017748868324416,1637081912.999555334205224092609029,20555.883397872211975452,7741296.51421105071390081400209308
61,2020-09-13 02:00:00,5028.608891801537439816,1886814.112207842578629803680244645,8356369.682532260411369948,1635945663.475614068349027634137522,20710.584963886462629026,7702597.722256965037535913877367396
62,2020-09-12 02:00:00,4861.181269483019616415,1830659.570262848045882235714614198,8351341.073640458873930132,1634058849.363406225770397830457268,24934.3633897329409454,9552970.341524621341418501587370155
63,2020-09-11 02:00:00,3580.860618489507866738,1330335.942922419823205094742224208,8346479.892370975854313717,1632228189.79314337772451559474266,26120.832885019678515948,9786040.228117735062140996099107901
64,2020-09-10 02:00:00,4355.50129972231022437,1621819.872998265801803799320976278,8342899.031752486346446979,1630897853.850220957901310500000427,25998.48243828237199887,9690025.011182688164640483222560667
65,2020-09-09 02:00:00,3703.670092914637583473,1331563.464167705862024867913166995,8338543.530452764036222609,1629276033.977222692099506700679443,26840.408056829383863326,9787301.459922895655645074492086007
66,2020-09-08 02:00:00,3582.348355617303017129,1276168.803069030421938262005133213,8334839.860359849398639136,1627944470.51305498623748183276627,27363.529528941519356464,9641642.329634492598200234496677986
67,2020-09-07 02:00:00,3470.047982335962544351,1243056.088808252042277221527753383,8331257.512004232095622007,1626668301.70998595581554357076114,33858.227034139428272604,12307858.16186085443323447627427595
68,2020-09-06 02:00:00,4865.974463589519048931,1735638.652911578502317246480202638,8327787.464021896133077656,1625425245.621177703773266349233384,35331.779711870148490246,12862651.11388722470963459645311242
69,2020-09-05 02:00:00,8593.500898657679241457,3102271.393243734574370000771819794,8322921.489558306614028725,1623689606.968266125270949102753168,35346.770831717725840746,12393765.75510891643338333099811492
70,2020-09-04 02:00:00,6254.82472654468138228,2414451.070362712496882924809701155,8314327.988659648934787268,1620587335.57502239069657910198135,34619.174960774008513582,13417311.7139874018991593702430502
71,2020-09-03 02:00:00,6571.036967317539634519,2691309.436519209545853911380678092,8308073.163933104253404988,1618172884.504659678199696177171636,34909.348295981418698332,13462555.11052362823164488717873975
72,2020-09-02 02:00:00,5897.846017848248848194,2539435.365773261221841435781044857,8301502.126965786713770469,1615481575.068140468653842265790958,34373.470117764897610252,14638383.5944359443459024036299794
73,2020-09-01 02:00:00,7137.83532404095062645,3106797.873215453925892227137215821,8295604.280947938464922275,1612942139.70236720743200083000992,34431.546506292847565484,15473560.54134647453415762229639842
74,2020-08-31 02:00:00,5105.221134661830937452,2124524.594305889066452493852459568,8288466.445623897514295825,1609835341.829151753506108602872691,35889.008471020600354658,15062783.90785145286557140138641066
75,2020-08-30 02:00:00,7992.691284537485375475,3231115.444186264880914571520011721,8283361.224489235683358373,1607710817.234845864439656109020242,36461.59597855092530665,15087992.7365037049670245519205972
76,2020-08-29 02:00:00,5785.524666272929156721,2289845.036594238658645838862901337,8275368.533204698197982898,1604479701.790659599558741537500228,37166.896017233974029424,14739376.36576633769460085402431878
77,2020-08-28 02:00:00,7744.786013811077117964,3022361.584684721997155645335470615,8269583.008538425268826177,1602189856.754065360900095698637294,37746.894401525456849906,14822016.53757160729403003749164328
78,2020-08-27 02:00:00,8401.089823432869325681,3217835.872659277251683217701823034,8261838.222524614191708213,1599167495.16938063890294005330181,37982.398905510022630362,14596149.05191036054125160247511811
79,2020-08-26 02:00:00,7977.915706195661270795,3085359.913550023620363268678406215,8253437.132701181322382532,1595949659.296721361651256835599979,38209.512453838614145118,14852966.52034197342758346970907345
80,2020-08-25 02:00:00,6654.675208203354008179,2590048.40748269966596668596575985,8245459.216994985661111737,1592864299.383171338030893566921563,37717.609042166944765908,14384115.05860043908051781245557929
81,2020-08-24 02:00:00,8006.320358163000554139,3167048.000017449542734262856167273,8238804.541786782307103558,1590274250.975688638364926880955777,37889.944093179356475406,15195062.17485055437940620621101777
82,2020-08-23 02:00:00,6333.453473271673888206,2472888.979663996955004340526790675,8230798.221428619306549419,1587107202.975671188822192618099606,37572.915002107160143374,14723801.35121313824050356377121077
83,2020-08-22 02:00:00,8364.284902843866781454,3268873.295892987759191434360231497,8224464.767955347632661213,1584634313.996007191867188277572797,37908.616210776569281084,14923489.60690557370861954845639024
84,2020-08-21 02:00:00,9902.831563800978677171,4179617.427073552167656176301300244,8216100.483052503765879759,1581365440.700114204107996843212592,38137.768007132780683276,15670136.41420282890650725213605671
85,2020-08-20 02:00:00,7495.06497727803388476,3209325.141414711928550132465607478,8206197.651488702787202588,1577185823.273040651940340666911298,37908.407704897243000506,16316858.39406970815063836429753219
86,2020-08-19 02:00:00,9044.112257224818933821,3861496.447156807379415303339132779,8198702.586511424753317828,1573976498.131625940011790534445706,37884.349431890116883608,16094298.31913367749860961372146573
87,2020-08-18 02:00:00,6945.601775887151994168,3047272.183775480534415383257549826,8189658.474254199934384007,1570115001.68446913263237523110657,37497.959057964712975474,16337692.82142993739158605784191295
88,2020-08-17 02:00:00,8760.808684172470042805,3860402.546722557119142710967696353,8182712.872478312782389839,1567067729.500693652097959847849001,37544.544357156281307782,16743583.97120368641333751299837131
89,2020-08-16 02:00:00,8417.053335417587306057,3694520.104778107305650657054473768,8173952.063794140312347034,1563207326.953971094978817136881279,37706.481820456206085326,16648956.91942126471250943460144029
90,2020-08-15 02:00:00,8528.644756123508154306,3813838.414038327951712261894487505,8165535.010458722725040977,1559512806.849192987673166479826791,39079.391030545254385828,17329154.27640131743411081826023246
91,2020-08-14 02:00:00,10124.672872395584157732,4237166.539797301459273359846349816,8157006.365702599216886671,1555698968.435154659721454217932302,38257.18513423074623654,17168061.58329956994214846008777339
92,2020-08-13 02:00:00,20712.424603076616326987,8097828.337769292050890120524226042,8146881.692830203632728939,1551461801.895357358262180858085959,40504.31434856711821208,16639730.92487900004898038023745364
93,2020-08-12 02:00:00,22358.307855736677748102,8563005.373182733192499499125544099,8126169.268227127016401952,1543363973.557588066211290737561715,41549.563301761897088526,16041074.4408578998960762513826771
94,2020-08-11 02:00:00,10134.983144795374044524,3917804.680530686006983391817349027,8103810.96037139033865385,1534800968.184405333018791238436186,45343.497647760269442092,17339539.4884012201818913504886224
95,2020-08-10 02:00:00,22704.154927691934670753,9018322.014873633369866271888266283,8093675.977226594964609326,1530883163.503874647011807846618822,45413.187564020789958712,17841190.17221472268908393060177605
96,2020-08-09 02:00:00,9211.88223068652037253,3646904.394236941422334837407055161,8070971.822298903029938573,1521864841.489001013641941574730567,45922.831500214272744428,18096828.31801071275230384749759418
97,2020-08-08 02:00:00,7671.1046852886589067,3009329.225555889477905979646381569,8061759.940068216509566043,1518217937.094764072219606737323517,45495.550285328853848012,18013485.1488264446632368833935662
98,2020-08-07 02:00:00,7903.850375411987254835,3092597.844504807214209816940779193,8054088.835382927850659343,1515208607.869208182741700757677153,45515.680554096033417964,17647249.20109666707023636533107119
99,2020-08-06 02:00:00,5789.902542217239752869,2312675.827808229738073347655748114,8046184.985007515863404508,1512116010.024703375527490940736383,45357.023742968814981388,17302896.90753489586957855966509053
100,2020-08-05 02:00:00,6920.74466329663655318,2666839.385225618527984047890999613,8040395.082465298623651639,1509803334.196895145789417593080664,44823.376285848448990986,17578740.93676116082275614807953282
101,2020-08-04 02:00:00,10151.536701832501421299,3874023.06673240819341495509530311,8033474.337802001987098459,1507136494.811669527261433545189654,45840.600898475464745052,17456612.53656020841976084328039996
102,2020-08-03 02:00:00,8321.104781738473636686,3156818.528357506242742307796531862,8023322.80110016948567716,1503262471.744937119068018590094352,46308.062818589796517096,17530326.79651308193290380189868459
103,2020-08-02 02:00:00,10850.98731673173840331,4051794.649687562617570922772313758,8015001.696318431012040474,1500105653.216579612825276282297827,46588.2282269808771626,17090978.9364800613888341310868313
104,2020-08-01 02:00:00,9252.974905431167734246,3328035.912063847515644251249045609,8004150.709001699273637164,1496053858.566892050207705359525502,46731.87595537956267963,17621519.86699337138199002985261279
105,2020-07-31 02:00:00,10052.760817295312827387,3315788.998784523769872729943844403,7994897.734096268105902918,1492725822.654828202692061108276427,48183.257190073192513798,16134859.41464268382801149326463386
106,2020-07-30 02:00:00,9073.573085440732581827,2900584.758164718444660498413729587,7984844.973278972793075531,1489410033.656043678922188378332599,50117.763560214820037446,16367509.29978636886721718555885815
107,2020-07-29 02:00:00,9632.651174161852990251,3049797.829210876231797401478166914,7975771.400193532060493704,1486509448.897878960477527879918884,51215.669544629039477278,16259312.20387969480374260094086371
108,2020-07-28 02:00:00,7450.448331339728620206,2353016.235103333053131874771332876,7966138.749019370207503453,1483459651.068668084245730478440706,50652.016552461243295012,16005642.25005219793596692517043337
109,2020-07-27 02:00:00,14371.177172784951555716,4598147.603029346979809411621990247,7958688.300688030478883247,1481106634.833564751192598603669381,50678.179278844594104856,16178565.86831683719947246498727274
110,2020-07-26 02:00:00,10643.131092725015736912,3181289.743318347706091187261576075,7944317.123515245527327531,1476508487.230535404212789192047387,52025.82865409075923347,16307023.00321643143783468251203137
111,2020-07-25 02:00:00,16726.589328016682283517,4760691.438738761242388187738615436,7933673.992422520511590619,1473327197.487217056506698004785813,78104.368573054246359642,23248213.52482799244029233672290874
112,2020-07-24 02:00:00,17679.329621251342846481,4771428.819925162006442137463175385,7916947.403094503829307102,1468566506.048478295264309817047206,88468.443144372842390428,24123003.2331233515242560953472393
113,2020-07-23 02:00:00,18285.135683903141104376,4775454.667038082479926680802287747,7899268.073473252486460621,1463795077.228553133257867679584033,91712.619863267167186444,24319211.14986072938833058752830083
114,2020-07-22 02:00:00,18466.870619696476799645,4597549.963204616853744713681282989,7880982.937789349345356245,1459019622.561515050777940998781762,94331.331002018436353246,24332781.42892449535208291036829138
115,2020-07-21 02:00:00,13003.774791533902332641,3113883.319857997946635899837805022,7862516.0671696528685566,1454422072.59831043392419628510049,95598.686747727105098742,23110170.52307187638452497126307256
116,2020-07-20 02:00:00,15179.27175675551948521,3590984.283454266390569832652146443,7849512.292378118966223959,1451308189.278452435977560385262669,96252.553683183743311694,22705407.73656552093238672924536037
117,2020-07-19 02:00:00,15644.425104636562538031,3672388.30752482694159320718882439,7834333.020621363446738749,1447717204.994998169586990552610549,97111.820689159272806932,23179686.41065032235913695263050506
118,2020-07-18 02:00:00,8337.531796950554779217,1946545.846812857554383149575061999,7818688.595516726884200718,1444044816.687473342645397345421762,96723.515207294586353986,22782963.20660613075173934041776276
119,2020-07-17 02:00:00,7113.30256687043981888,1665523.130639934919219993583625845,7810351.063719776329421501,1442098270.840660485091014195846714,96745.29662046558069319,22753606.86390978610334295153047414
120,2020-07-16 02:00:00,8609.401560373317010811,2028720.765502621272646183473358206,7803237.761152905889602621,1440432747.710020550171794202263068,97130.156328846130524956,22829591.58686034917546351013542048
121,2020-07-15 02:00:00,7802.909628039016436755,1873449.511669044206995905671041714,7794628.35959253257259181,1438404026.944517928899148018789713,97562.37800486314801654,23394443.06272810639524888737565355
122,2020-07-14 02:00:00,6274.650726090400877221,1507156.559857353080566413097912995,7786825.449964493556155055,1436530577.432848884692152113118688,98143.35322451491232467,23673662.52500413717717575240397717
123,2020-07-13 02:00:00,10070.846411752430922945,2433644.073873356872421287150229391,7780550.799238403155277834,1435023420.872991531611585700020777,98198.371471263106199852,23537141.79028635738870702618889352
124,2020-07-12 02:00:00,8203.30425360042821242,1964838.191140379278927551766758657,7770479.952826650724354889,1432589776.79911817473916441287057,105456.22028239519788286,25411307.3045158240046534564577363
125,2020-07-11 02:00:00,5097.898590286286120846,1221201.837336491354474040684253403,7762276.648573050296142469,1430624938.6079777954602368611038,104681.965643660390037518,25108762.29265944313701368748763017
126,2020-07-10 02:00:00,6085.111611888691076172,1456446.462342281752724743513093149,7757178.749982764010021623,1429403736.770641304105762820419537,105238.928770342880441842,25323879.51701647732282041561920881
127,2020-07-09 02:00:00,7567.955866562471482474,1831271.95381853169086570608615369,7751093.638370875318945451,1427947290.308299022353038076906455,106409.265962815221114642,25617583.09412213706243357811508434
128,2020-07-08 02:00:00,9953.878826190784095105,2409103.668101680690180853223253591,7743525.682504312847462977,1426116018.35448049066217237082031,107870.543296017904067928,26328929.36686332158925159865977081
129,2020-07-07 02:00:00,10463.23994385337288542,2468215.321319939605956377771320956,7733571.803678122063367872,1423706914.68637880997199151759706,109756.313965917641180708,26269877.57429322940714323977197558
130,2020-07-06 02:00:00,10919.002608224922056144,2546921.470705542303304291498998763,7723108.563734268690482452,1421238699.365058870366035139825719,124457.477634562082354596,29464714.03361491880596884597522797
131,2020-07-05 02:00:00,9554.568730775563244052,2166539.837996345662139128594267533,7712189.561126043768426308,1418691777.89435332806273084832674,125811.385149620729652778,28617696.62032949348480203094931866
132,2020-07-04 02:00:00,12795.008967873298188206,2903615.462084673241787040126235624,7702634.992395268205182256,1416525238.056356982400591719732473,127884.370083661326771754,29186013.96122059951751719487826713
133,2020-07-03 02:00:00,20169.047935378359155196,4571759.542354841082065027817531096,7689839.98342739490699405,1413621622.594272309158804679606235,130541.760830376300004022,29454248.26152993834821148343937357
134,2020-07-02 02:00:00,22836.63101679904466362,5157605.047096621732438959909205222,7669670.935492016547838854,1409049863.051917468076739651788692,131813.689355584485181106,29933191.25431701740726183490496822
135,2020-07-01 02:00:00,21629.390667898790833856,4855585.010160264979648900685327227,7646834.304475217503175234,1403892258.004820846344300691879465,133275.372848832205426066,30170389.57796363588382334843120641
136,2020-06-30 02:00:00,10510.200781336565786441,2398768.177411687830413712976750456,7625204.913807318712341378,1399036672.994660581364651791194123,132613.990415141361459198,29547556.29469087169048898146561344
137,2020-06-29 02:00:00,9041.435059627357795984,2058739.122586324758631154333328336,7614694.713025982146554937,1396637904.817248893534238078217363,144843.72725361910633191,32916983.69604799863193599037812282
138,2020-06-28 02:00:00,14332.188461126281316165,3236034.651056710775234353636706168,7605653.277966354788758953,1394579165.694662568775606923884028,151672.523406195889461198,34481182.46976943000700500857571386
139,2020-06-27 02:00:00,20707.323583484831025179,4729619.934010926330417593980872816,7591321.089505228507442788,1391343131.043605858000372570247318,153660.129702280923423074,34524280.05545345294956400937255059
140,2020-06-26 02:00:00,19318.541862366543576497,4479848.220371184989601197277660321,7570613.765921743676417609,1386613511.109594931669954976266436,157631.937396329191270578,36411515.83228958851739308134056236
141,2020-06-25 02:00:00,22305.370820611331924394,5282640.854414269393845154009078917,7551295.224059377132841112,1382133662.889223746680353778988752,164510.753064087563815272,38943148.59563987020012571906704472
142,2020-06-24 02:00:00,33319.658651357601343433,8005218.940335071668998952394439424,7528989.853238765800916718,1376851022.034809477286508624979703,167343.007704869845043862,39867726.73352113159112169146896139
143,2020-06-23 02:00:00,23912.443252164145504123,5857430.23648661841995859994364508,7495670.194587408199573285,1368845803.094474405617509672585255,169111.850651237699541408,41150689.76772941609185850252796591
144,2020-06-22 02:00:00,40011.533168384237377969,9498842.756264337729920019570425727,7471757.751335244054069162,1362988372.857987787197551072641631,173625.352457852480960182,42271999.7930964509266502712141312
145,2020-06-21 02:00:00,25481.961910587928064868,5828549.28928195022302428016687763,7431746.218166859816691193,1353489530.101723449467631053071202,180019.219403848001719534,40975231.45302199419584456853857666
146,2020-06-20 02:00:00,21864.809867606911193482,4978465.052089077183209665671157509,7406264.256256271888626325,1347660980.812441499244606772904327,188661.10558791518131856,43055095.75295671472532343809446035
147,2020-06-19 02:00:00,23132.413877881525408667,5285184.112318401794323833565961874,7384399.446388664977432843,1342682515.76035242206139710723316,189915.005913160725286418,43281158.90929792487664285923871903
148,2020-06-18 02:00:00,14878.671719334057717798,3442576.265310823773469520778587288,7361267.032510783452024176,1337397331.648034020267073273667192,193397.98136591906489541,44502789.15447450657929901351444516
149,2020-06-17 02:00:00,15805.3960768796968989,3668670.595107288364848230068524918,7346388.360791449394306378,1333954755.382723196493603752888592,194146.263100469184132888,45114921.62108079908472708940904215
150,2020-06-16 02:00:00,14909.841459896722123309,3465913.3946012101360132959233303,7330582.964714569697407478,1330286084.787615908128755522820064,194050.893010363966636396,45372159.48354766351460155595976413
151,2020-06-15 02:00:00,25172.780304896257612569,5746622.711362353085793953315812524,7315673.123254672975284169,1326820171.393014697992742226896747,196769.321155849974233102,45566444.52055512094114894698793931
152,2020-06-14 02:00:00,13876.886007716965896294,3264012.055021036975071710733072391,7290500.3429497767176716,1321073548.681652344906948273580916,200348.073134914028821644,46579835.85510922894806213794596368
153,2020-06-13 02:00:00,14865.263037612797397216,3513752.534612776179637703669600961,7276623.456942059751775306,1317809536.626631307931876562847845,201910.515640058869779296,47996843.30816999832330754351139401
154,2020-06-12 02:00:00,16194.115900008404395712,3822127.802628703090868914152083237,7261758.19390444695437809,1314295784.092018531752238859178217,204921.064531379659191914,48653919.78909987579015987027044699
155,2020-06-11 02:00:00,32709.378482946443181575,7794656.141278162347227345530495173,7245564.078004438549982378,1310473656.289389828661369945026155,207465.634326656240353702,48357385.82705660489589671280258966
156,2020-06-10 02:00:00,26318.150244913456243432,6378333.007729072199075965021149746,7212854.699521492106800803,1302679000.148111666314142599495637,206945.770505489548123008,50187848.7277251897697882306995347
